pin,slack
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:C,4622
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:IPC,4622
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:Y,5150
p_imag_obuf[9]/U_IOTRI:D,
p_imag_obuf[9]/U_IOTRI:DOUT,
p_imag_obuf[9]/U_IOTRI:EOUT,
REG_IN_BI/Q[0]:ALn,
REG_IN_BI/Q[0]:CLK,3846
REG_IN_BI/Q[0]:D,
REG_IN_BI/Q[0]:EN,
REG_IN_BI/Q[0]:Q,3846
REG_IN_A/Q[4]:ALn,
REG_IN_A/Q[4]:CLK,3874
REG_IN_A/Q[4]:D,
REG_IN_A/Q[4]:EN,
REG_IN_A/Q[4]:Q,3874
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:A,3790
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:IPC,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:Y,3790
aai_0_cry_1:A,3830
aai_0_cry_1:B,3788
aai_0_cry_1:CC,4177
aai_0_cry_1:P,3788
aai_0_cry_1:S,4177
aai_0_cry_1:Y3,
aai_0_cry_1:Y3A,3889
a_imag_ibuf[4]/U_IOPAD:PAD,
a_imag_ibuf[4]/U_IOPAD:Y,
p_real_obuf[3]/U_IOTRI:D,
p_real_obuf[3]/U_IOTRI:DOUT,
p_real_obuf[3]/U_IOTRI:EOUT,
REG_OUT_R/Q[2]:ALn,
REG_OUT_R/Q[2]:CLK,
REG_OUT_R/Q[2]:D,4103
REG_OUT_R/Q[2]:EN,
REG_OUT_R/Q[2]:Q,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_10:A,5255
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_10:Y,5255
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_25:A,3793
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_25:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_25:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_25:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_25:Y,3793
REG_IN_B/Q[7]:ALn,
REG_IN_B/Q[7]:CLK,4156
REG_IN_B/Q[7]:D,
REG_IN_B/Q[7]:EN,
REG_IN_B/Q[7]:Q,4156
aai_0_cry_4:A,3922
aai_0_cry_4:B,3880
aai_0_cry_4:CC,3879
aai_0_cry_4:P,3880
aai_0_cry_4:S,3879
aai_0_cry_4:Y3,
aai_0_cry_4:Y3A,3968
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:A,3788
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:Y,3788
p_imag_obuf[14]/U_IOPAD:D,
p_imag_obuf[14]/U_IOPAD:E,
p_imag_obuf[14]/U_IOPAD:PAD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_4:A,5258
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_4:Y,5258
a_imag_ibuf[3]/U_IOIN:Y,
a_imag_ibuf[3]/U_IOIN:YIN,
p_real_obuf[8]/U_IOTRI:D,
p_real_obuf[8]/U_IOTRI:DOUT,
p_real_obuf[8]/U_IOTRI:EOUT,
REG_IN_A/Q[1]:ALn,
REG_IN_A/Q[1]:CLK,3782
REG_IN_A/Q[1]:D,
REG_IN_A/Q[1]:EN,
REG_IN_A/Q[1]:Q,3782
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_28:A,5185
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_28:Y,5185
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_3:A,4177
