pin,slack
p_0_cry_0_CC_0:Y3[7],
p_0_cry_0_CC_0:Y3[8],
p_0_cry_0_CC_0:Y3[9],
overflow_obuf/U_IOTRI:D,
overflow_obuf/U_IOTRI:DOUT,
overflow_obuf/U_IOTRI:EOUT,
a_real_ibuf[0]/U_IOIN:Y,
a_real_ibuf[0]/U_IOIN:YIN,
a_real[7],
a_real[6],
a_real[5],
a_real[4],
a_real[3],
a_real[2],
a_real[1],
a_real[0],
a_imag[7],
a_imag[6],
a_imag[5],
a_imag[4],
a_imag[3],
a_imag[2],
a_imag[1],
a_imag[0],
b_real[7],
b_real[6],
b_real[5],
b_real[4],
b_real[3],
b_real[2],
b_real[1],
b_real[0],
b_imag[7],
b_imag[6],
b_imag[5],
b_imag[4],
b_imag[3],
b_imag[2],
b_imag[1],
b_imag[0],
p_real[15],
p_real[14],
p_real[13],
p_real[12],
p_real[11],
p_real[10],
p_real[9],
p_real[8],
p_real[7],
p_real[6],
p_real[5],
p_real[4],
p_real[3],
p_real[2],
p_real[1],
p_real[0],
p_imag[15],
p_imag[14],
p_imag[13],
p_imag[12],
p_imag[11],
p_imag[10],
p_imag[9],
p_imag[8],
p_imag[7],
p_imag[6],
p_imag[5],
p_imag[4],
p_imag[3],
p_imag[2],
p_imag[1],
p_imag[0],
clk,
en,
rst,
overflow,
